slug,path,family,title,meta_title,meta_description,summary,jurisdiction,primary_source_id,source_category,priority,batch_status,needs_official_source_block,needs_cross_site_handoff,canonical_domain,parent_project_slug,primary_intent,secondary_source_ids,must_link_to,template_id,thin_page_risk,minimum_unique_blocks,parent_approved_document
approved-document-m-access-checklist,/approved-documents/approved-document-m-access-checklist/,approved_document_longtail,Approved Document M: Access to and use of buildings checklist,Approved Document M: Access to and use of buildings checkl,"A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document m: access to and use of buildings.","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document m: access to and use of buildings.",England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/m-access/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",M
approved-document-m-access-common-projects,/approved-documents/approved-document-m-access-common-projects/,approved_document_longtail,Common home projects affected by Approved Document M: Access to and use of buildings,Common home projects affected by Approved Document M: Acce,"See which extensions, conversions, alterations and installations commonly connect to approved document m: access to and use of buildings.","See which extensions, conversions, alterations and installations commonly connect to approved document m: access to and use of buildings.",England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/m-access/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",M
approved-document-o-overheating-for-homeowners,/approved-documents/approved-document-o-overheating-for-homeowners/,approved_document_longtail,Approved Document O: Overheating for homeowners,Approved Document O: Overheating for homeowners,Understand when approved document o: overheating matters for domestic work and which project pages to check next.,Understand when approved document o: overheating matters for domestic work and which project pages to check next.,England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/o-overheating/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",O
approved-document-o-overheating-checklist,/approved-documents/approved-document-o-overheating-checklist/,approved_document_longtail,Approved Document O: Overheating checklist,Approved Document O: Overheating checklist,"A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document o: overheating.","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document o: overheating.",England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/o-overheating/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",O
approved-document-o-overheating-common-projects,/approved-documents/approved-document-o-overheating-common-projects/,approved_document_longtail,Common home projects affected by Approved Document O: Overheating,Common home projects affected by Approved Document O: Over,"See which extensions, conversions, alterations and installations commonly connect to approved document o: overheating.","See which extensions, conversions, alterations and installations commonly connect to approved document o: overheating.",England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/o-overheating/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",O
approved-document-p-electrical-safety-for-homeowners,/approved-documents/approved-document-p-electrical-safety-for-homeowners/,approved_document_longtail,Approved Document P: Electrical safety for homeowners,Approved Document P: Electrical safety for homeowners,Understand when approved document p: electrical safety matters for domestic work and which project pages to check next.,Understand when approved document p: electrical safety matters for domestic work and which project pages to check next.,England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/p-electrical-safety/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",P
approved-document-p-electrical-safety-checklist,/approved-documents/approved-document-p-electrical-safety-checklist/,approved_document_longtail,Approved Document P: Electrical safety checklist,Approved Document P: Electrical safety checklist,"A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document p: electrical safety.","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document p: electrical safety.",England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/p-electrical-safety/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",P
approved-document-p-electrical-safety-common-projects,/approved-documents/approved-document-p-electrical-safety-common-projects/,approved_document_longtail,Common home projects affected by Approved Document P: Electrical safety,Common home projects affected by Approved Document P: Elec,"See which extensions, conversions, alterations and installations commonly connect to approved document p: electrical safety.","See which extensions, conversions, alterations and installations commonly connect to approved document p: electrical safety.",England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/p-electrical-safety/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",P
approved-document-q-security-for-homeowners,/approved-documents/approved-document-q-security-for-homeowners/,approved_document_longtail,Approved Document Q: Security in dwellings for homeowners,Approved Document Q: Security in dwellings for homeowners,Understand when approved document q: security in dwellings matters for domestic work and which project pages to check next.,Understand when approved document q: security in dwellings matters for domestic work and which project pages to check next.,England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/q-security/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",Q
approved-document-q-security-checklist,/approved-documents/approved-document-q-security-checklist/,approved_document_longtail,Approved Document Q: Security in dwellings checklist,Approved Document Q: Security in dwellings checklist,"A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document q: security in dwellings.","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document q: security in dwellings.",England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/q-security/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",Q
approved-document-q-security-common-projects,/approved-documents/approved-document-q-security-common-projects/,approved_document_longtail,Common home projects affected by Approved Document Q: Security in dwellings,Common home projects affected by Approved Document Q: Secu,"See which extensions, conversions, alterations and installations commonly connect to approved document q: security in dwellings.","See which extensions, conversions, alterations and installations commonly connect to approved document q: security in dwellings.",England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/q-security/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",Q
approved-document-r-physical-infrastructure-for-homeowners,/approved-documents/approved-document-r-physical-infrastructure-for-homeowners/,approved_document_longtail,Approved Document R: Physical infrastructure for electronic communications for homeowners,Approved Document R: Physical infrastructure for electroni,Understand when approved document r: physical infrastructure for electronic communications matters for domestic work and which project pages to check next.,Understand when approved document r: physical infrastructure for electronic communications matters for domestic work and which project pages to check next.,England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/r-physical-infrastructure/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",R
approved-document-r-physical-infrastructure-checklist,/approved-documents/approved-document-r-physical-infrastructure-checklist/,approved_document_longtail,Approved Document R: Physical infrastructure for electronic communications checklist,Approved Document R: Physical infrastructure for electroni,"A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document r: physical infrastructure for electronic communicatio","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document r: physical infrastructure for electronic communications.",England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/r-physical-infrastructure/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",R
approved-document-r-physical-infrastructure-common-projects,/approved-documents/approved-document-r-physical-infrastructure-common-projects/,approved_document_longtail,Common home projects affected by Approved Document R: Physical infrastructure for electronic communications,Common home projects affected by Approved Document R: Phys,"See which extensions, conversions, alterations and installations commonly connect to approved document r: physical infrastructure for electronic communicat","See which extensions, conversions, alterations and installations commonly connect to approved document r: physical infrastructure for electronic communications.",England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/r-physical-infrastructure/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",R
approved-document-s-electric-vehicle-charging-for-homeowners,/approved-documents/approved-document-s-electric-vehicle-charging-for-homeowners/,approved_document_longtail,Approved Document S: Electric vehicle charging infrastructure for homeowners,Approved Document S: Electric vehicle charging infrastruct,Understand when approved document s: electric vehicle charging infrastructure matters for domestic work and which project pages to check next.,Understand when approved document s: electric vehicle charging infrastructure matters for domestic work and which project pages to check next.,England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/s-electric-vehicle-charging/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",S
approved-document-s-electric-vehicle-charging-checklist,/approved-documents/approved-document-s-electric-vehicle-charging-checklist/,approved_document_longtail,Approved Document S: Electric vehicle charging infrastructure checklist,Approved Document S: Electric vehicle charging infrastruct,"A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document s: electric vehicle charging infrastructure.","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document s: electric vehicle charging infrastructure.",England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/s-electric-vehicle-charging/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",S
approved-document-s-electric-vehicle-charging-common-projects,/approved-documents/approved-document-s-electric-vehicle-charging-common-projects/,approved_document_longtail,Common home projects affected by Approved Document S: Electric vehicle charging infrastructure,Common home projects affected by Approved Document S: Elec,"See which extensions, conversions, alterations and installations commonly connect to approved document s: electric vehicle charging infrastructure.","See which extensions, conversions, alterations and installations commonly connect to approved document s: electric vehicle charging infrastructure.",England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/s-electric-vehicle-charging/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",S
approved-document-t-toilets-for-homeowners,/approved-documents/approved-document-t-toilets-for-homeowners/,approved_document_longtail,Approved Document T: Toilet accommodation for homeowners,Approved Document T: Toilet accommodation for homeowners,Understand when approved document t: toilet accommodation matters for domestic work and which project pages to check next.,Understand when approved document t: toilet accommodation matters for domestic work and which project pages to check next.,England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/t-toilets/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",T
approved-document-t-toilets-checklist,/approved-documents/approved-document-t-toilets-checklist/,approved_document_longtail,Approved Document T: Toilet accommodation checklist,Approved Document T: Toilet accommodation checklist,"A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document t: toilet accommodation.","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document t: toilet accommodation.",England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/t-toilets/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",T
approved-document-t-toilets-common-projects,/approved-documents/approved-document-t-toilets-common-projects/,approved_document_longtail,Common home projects affected by Approved Document T: Toilet accommodation,Common home projects affected by Approved Document T: Toil,"See which extensions, conversions, alterations and installations commonly connect to approved document t: toilet accommodation.","See which extensions, conversions, alterations and installations commonly connect to approved document t: toilet accommodation.",England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/t-toilets/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",T
approved-document-7-materials-and-workmanship-for-homeowners,/approved-documents/approved-document-7-materials-and-workmanship-for-homeowners/,approved_document_longtail,Approved Document 7: Materials and workmanship for homeowners,Approved Document 7: Materials and workmanship for homeown,Understand when approved document 7: materials and workmanship matters for domestic work and which project pages to check next.,Understand when approved document 7: materials and workmanship matters for domestic work and which project pages to check next.,England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/7-materials-and-workmanship/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",7
approved-document-7-materials-and-workmanship-checklist,/approved-documents/approved-document-7-materials-and-workmanship-checklist/,approved_document_longtail,Approved Document 7: Materials and workmanship checklist,Approved Document 7: Materials and workmanship checklist,"A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document 7: materials and workmanship.","A homeowner-friendly checklist for the evidence, questions and red flags linked to approved document 7: materials and workmanship.",England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/7-materials-and-workmanship/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",7
approved-document-7-materials-and-workmanship-common-projects,/approved-documents/approved-document-7-materials-and-workmanship-common-projects/,approved_document_longtail,Common home projects affected by Approved Document 7: Materials and workmanship,Common home projects affected by Approved Document 7: Mate,"See which extensions, conversions, alterations and installations commonly connect to approved document 7: materials and workmanship.","See which extensions, conversions, alterations and installations commonly connect to approved document 7: materials and workmanship.",England-first,govuk_approved_documents_collection,,,batch_5_seo_route_candidate,,,,,approved_document_interpretation,govuk_approved_documents_collection,/approved-documents/7-materials-and-workmanship/;/approved-documents/;/tools/approved-document-router/,approved_document_longtail_template_v1,medium,"what it covers, projects affected, evidence, red flags, source version block",7
building-regs-before-you-start-checklist,/downloads/building-regs-before-you-start-checklist/,download_landing_page,Building regs before-you-start checklist,Building regs before-you-start checklist,"Download a printable building regs before-you-start checklist for building regulations evidence, inspections and project paperwork.","Landing page for the building regs before-you-start checklist, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
planning-permission-vs-building-regulations-one-page-comparison,/downloads/planning-permission-vs-building-regulations-one-page-comparison/,download_landing_page,Planning permission vs building regulations one-page comparison,Planning permission vs building regulations one-page compa,"Download a printable planning permission vs building regulations one-page comparison for building regulations evidence, inspections and project paperwork.","Landing page for the planning permission vs building regulations one-page comparison, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
building-control-route-decision-sheet,/downloads/building-control-route-decision-sheet/,download_landing_page,Building control route decision sheet,Building control route decision sheet,"Download a printable building control route decision sheet for building regulations evidence, inspections and project paperwork.","Landing page for the building control route decision sheet, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
homeowner-building-regs-risk-audit,/downloads/homeowner-building-regs-risk-audit/,download_landing_page,Homeowner building regs risk audit,Homeowner building regs risk audit,"Download a printable homeowner building regs risk audit for building regulations evidence, inspections and project paperwork.","Landing page for the homeowner building regs risk audit, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
pre-start-conversation-script-for-builders,/downloads/pre-start-conversation-script-for-builders/,download_landing_page,Pre-start conversation script for builders,Pre-start conversation script for builders,"Download a printable pre-start conversation script for builders for building regulations evidence, inspections and project paperwork.","Landing page for the pre-start conversation script for builders, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
building-control-application-prep-sheet,/downloads/building-control-application-prep-sheet/,download_landing_page,Building control application prep sheet,Building control application prep sheet,"Download a printable building control application prep sheet for building regulations evidence, inspections and project paperwork.","Landing page for the building control application prep sheet, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
extension-building-control-prep-pack,/downloads/extension-building-control-prep-pack/,download_landing_page,Extension building control prep pack,Extension building control prep pack,"Download a printable extension building control prep pack for building regulations evidence, inspections and project paperwork.","Landing page for the extension building control prep pack, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
single-storey-extension-site-checklist,/downloads/single-storey-extension-site-checklist/,download_landing_page,Single-storey extension site checklist,Single-storey extension site checklist,"Download a printable single-storey extension site checklist for building regulations evidence, inspections and project paperwork.","Landing page for the single-storey extension site checklist, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
two-storey-extension-risk-checklist,/downloads/two-storey-extension-risk-checklist/,download_landing_page,Two-storey extension risk checklist,Two-storey extension risk checklist,"Download a printable two-storey extension risk checklist for building regulations evidence, inspections and project paperwork.","Landing page for the two-storey extension risk checklist, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
loft-conversion-fire-and-structure-checklist,/downloads/loft-conversion-fire-and-structure-checklist/,download_landing_page,Loft conversion fire and structure checklist,Loft conversion fire and structure checklist,"Download a printable loft conversion fire and structure checklist for building regulations evidence, inspections and project paperwork.","Landing page for the loft conversion fire and structure checklist, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
garage-conversion-building-regs-pack,/downloads/garage-conversion-building-regs-pack/,download_landing_page,Garage conversion building regs pack,Garage conversion building regs pack,"Download a printable garage conversion building regs pack for building regulations evidence, inspections and project paperwork.","Landing page for the garage conversion building regs pack, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
load-bearing-wall-removal-evidence-checklist,/downloads/load-bearing-wall-removal-evidence-checklist/,download_landing_page,Load-bearing wall removal evidence checklist,Load-bearing wall removal evidence checklist,"Download a printable load-bearing wall removal evidence checklist for building regulations evidence, inspections and project paperwork.","Landing page for the load-bearing wall removal evidence checklist, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
chimney-breast-removal-checklist,/downloads/chimney-breast-removal-checklist/,download_landing_page,Chimney breast removal checklist,Chimney breast removal checklist,"Download a printable chimney breast removal checklist for building regulations evidence, inspections and project paperwork.","Landing page for the chimney breast removal checklist, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
new-bathroom-and-ensuite-regs-checklist,/downloads/new-bathroom-and-ensuite-regs-checklist/,download_landing_page,New bathroom and ensuite regs checklist,New bathroom and ensuite regs checklist,"Download a printable new bathroom and ensuite regs checklist for building regulations evidence, inspections and project paperwork.","Landing page for the new bathroom and ensuite regs checklist, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
kitchen-building-regs-and-ventilation-checklist,/downloads/kitchen-building-regs-and-ventilation-checklist/,download_landing_page,Kitchen building regs and ventilation checklist,Kitchen building regs and ventilation checklist,"Download a printable kitchen building regs and ventilation checklist for building regulations evidence, inspections and project paperwork.","Landing page for the kitchen building regs and ventilation checklist, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
garden-room-building-regs-risk-checklist,/downloads/garden-room-building-regs-risk-checklist/,download_landing_page,Garden room building regs risk checklist,Garden room building regs risk checklist,"Download a printable garden room building regs risk checklist for building regulations evidence, inspections and project paperwork.","Landing page for the garden room building regs risk checklist, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
solar-panel-building-regs-and-roof-checklist,/downloads/solar-panel-building-regs-and-roof-checklist/,download_landing_page,Solar panel building regs and roof checklist,Solar panel building regs and roof checklist,"Download a printable solar panel building regs and roof checklist for building regulations evidence, inspections and project paperwork.","Landing page for the solar panel building regs and roof checklist, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
heat-pump-installation-paperwork-checklist,/downloads/heat-pump-installation-paperwork-checklist/,download_landing_page,Heat pump installation paperwork checklist,Heat pump installation paperwork checklist,"Download a printable heat pump installation paperwork checklist for building regulations evidence, inspections and project paperwork.","Landing page for the heat pump installation paperwork checklist, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
completion-certificate-evidence-folder,/downloads/completion-certificate-evidence-folder/,download_landing_page,Completion certificate evidence folder,Completion certificate evidence folder,"Download a printable completion certificate evidence folder for building regulations evidence, inspections and project paperwork.","Landing page for the completion certificate evidence folder, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
competent-person-certificate-tracker,/downloads/competent-person-certificate-tracker/,download_landing_page,Competent person certificate tracker,Competent person certificate tracker,"Download a printable competent person certificate tracker for building regulations evidence, inspections and project paperwork.","Landing page for the competent person certificate tracker, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
project-photo-evidence-log,/downloads/project-photo-evidence-log/,download_landing_page,Project photo evidence log,Project photo evidence log,"Download a printable project photo evidence log for building regulations evidence, inspections and project paperwork.","Landing page for the project photo evidence log, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
building-control-contact-log,/downloads/building-control-contact-log/,download_landing_page,Building control contact log,Building control contact log,"Download a printable building control contact log for building regulations evidence, inspections and project paperwork.","Landing page for the building control contact log, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
builder-document-request-list,/downloads/builder-document-request-list/,download_landing_page,Builder document request list,Builder document request list,"Download a printable builder document request list for building regulations evidence, inspections and project paperwork.","Landing page for the builder document request list, including who it is for, when to use it, and related project/tool links.",England-first,govuk_building_regs_approval,,,batch_5_seo_route_candidate,,,,,printable_download,govuk_building_regs_how_to_apply;govuk_approved_documents_collection,/downloads/;/tools/building-control-route-checker/,download_landing_template_v1,low_if_asset_is_rendered_on_page,"asset preview, how to use, related project, source warning, print CTA",
